university,model,origin_last_year,year,forecast
Georgetown University,naive,2025,2028,57.2
Georgia Institute of Technology,naive,2025,2026,78.3
Georgia Institute of Technology,naive,2025,2027,78.3
Georgia Institute of Technology,naive,2025,2028,78.3
Georgia State University,linear,2025,2026,54.5033333333331
Georgia State University,linear,2025,2027,57.58575757575727
Georgia State University,linear,2025,2028,60.66818181818144
Ghent University,linear,2025,2026,65.59142857142865
Ghent University,linear,2025,2027,66.39285714285734
Ghent University,linear,2025,2028,67.1942857142858
Gifu University,linear,2025,2026,30.720000000000255
Gifu University,linear,2025,2027,33.097272727272866
Gifu University,linear,2025,2028,35.47454545454548
Glasgow Caledonian University,linear,2025,2026,46.14333333333252
Glasgow Caledonian University,linear,2025,2027,49.2412121212119
Glasgow Caledonian University,linear,2025,2028,52.33909090909037
Goethe University Frankfurt,linear,2025,2026,53.13758420085742
Goethe University Frankfurt,linear,2025,2027,54.18952847519904
Goethe University Frankfurt,linear,2025,2028,55.24147274954066
Graz University of Technology,linear,2025,2026,47.39333333333343
Graz University of Technology,linear,2025,2027,49.7048484848483
Graz University of Technology,linear,2025,2028,52.016363636364076
Griffith University,naive,2025,2026,52.35
Griffith University,naive,2025,2027,52.35
Griffith University,naive,2025,2028,52.35
Gwangju Institute of Science and Technology (GIST),linear,2025,2026,52.936666666667406
Gwangju Institute of Science and Technology (GIST),linear,2025,2027,55.72515151515199
Gwangju Institute of Science and Technology (GIST),linear,2025,2028,58.51363636363658
HSE University,naive,2025,2026,47.6
HSE University,naive,2025,2027,47.6
HSE University,naive,2025,2028,47.6
Hacettepe University,naive,2025,2026,36.3
Hacettepe University,naive,2025,2027,36.3
Hacettepe University,naive,2025,2028,36.3
Hallym University,linear,2025,2026,26.809722222222263
Hallym University,linear,2025,2027,28.360555555555493
Hallym University,linear,2025,2028,29.911388888888723
Hanyang University,linear,2025,2026,60.71666666666715
Hanyang University,linear,2025,2027,64.36878787878777
Hanyang University,linear,2025,2028,68.0209090909093
Harbin Institute of Technology,linear,2025,2026,67.1933333333327
Harbin Institute of Technology,linear,2025,2027,72.27575757575687
Harbin Institute of Technology,linear,2025,2028,77.35818181818104
Harvard University,naive,2025,2026,97.7
Harvard University,naive,2025,2027,97.7
Harvard University,naive,2025,2028,97.7
Hasselt University,linear,2025,2026,54.370833333332484
Hasselt University,linear,2025,2027,56.464999999999236
Hasselt University,linear,2025,2028,58.55916666666599
Hebrew University of Jerusalem,naive,2025,2026,52.35
Hebrew University of Jerusalem,naive,2025,2027,52.35
Hebrew University of Jerusalem,naive,2025,2028,52.35
Heriot-Watt University,naive,2025,2026,47.6
Heriot-Watt University,naive,2025,2027,47.6
Heriot-Watt University,naive,2025,2028,47.6
Hiroshima University,linear,2025,2026,43.86999999999989
Hiroshima University,linear,2025,2027,46.63454545454533
Hiroshima University,linear,2025,2028,49.39909090909077
Hokkaido University,linear,2025,2026,56.100000000000364
Hokkaido University,linear,2025,2027,59.558181818181765
Hokkaido University,linear,2025,2028,63.016363636364076
Hong Kong Baptist University,linear,2025,2026,46.90939226519322
Hong Kong Baptist University,linear,2025,2027,47.903011049723546
Hong Kong Baptist University,linear,2025,2028,48.8966298342541
Hosei University,linear,2025,2026,23.45138888888914
Hosei University,linear,2025,2027,24.53722222222268
Hosei University,linear,2025,2028,25.623055555555766
Huazhong University of Science and Technology,linear,2025,2026,72.9933333333338
Huazhong University of Science and Technology,linear,2025,2027,78.23757575757554
Huazhong University of Science and Technology,linear,2025,2028,83.48181818181911
Humboldt University of Berlin,naive,2025,2026,68.0
Humboldt University of Berlin,naive,2025,2027,68.0
Humboldt University of Berlin,naive,2025,2028,68.0
Hunan University,linear,2025,2026,61.159999999999854
Hunan University,linear,2025,2027,65.82727272727243
Hunan University,linear,2025,2028,70.494545454545
I-Shou University,linear,2025,2026,27.203333333333376
I-Shou University,linear,2025,2027,29.15848484848493
I-Shou University,linear,2025,2028,31.113636363636488
ISCTE-University Institute of Lisbon,linear,2025,2026,42.145833333333485
ISCTE-University Institute of Lisbon,linear,2025,2027,44.11500000000024
ISCTE-University Institute of Lisbon,linear,2025,2028,46.08416666666699
ITMO University,naive,2025,2026,36.3
ITMO University,naive,2025,2027,36.3
ITMO University,naive,2025,2028,36.3
Imperial College London,linear,2025,2026,92.16285714285715
